mese,codice_articolo,quantita_consumata,descrizione
4,BEV.ACQ.00001,10.0,ACQUA FERRARELLE 75CL X 12 VAR
4,BEV.ACQ.00006,39.0,ACQUA NATIA/ELECTA 75CL X12 VAR
4,BEV.AMA.00006,6.0,AMARO AVERNA 1 LT
4,BEV.APE.00001,1.0,SAN BITTER BIANCO 10CL X 40
4,BEV.APE.00003,90.0,APEROL
4,BEV.APE.00004,6.0,CRODINO 10CL X 48 PZ
4,BEV.APE.00006,24.0,CAMPARI
4,BEV.APE.00010,1.0,SAN BITTER ROSSO 10CL X 40
4,BEV.BIR.00005,240.0,BIRRA PORETTI SPINA 20LT
4,BEV.BOL.00001,1.0,PROSECCO BASE (TERRA SERENA 75CL X 6)
4,BEV.BOL.00013,998.0,PROSECCO BASE (BIANCAVIGNA 75CLX6)
4,BEV.CAF.00003,115.0,CAFFE IN GRANI
4,BEV.CAF.00010,2.0,THE TWINNINGS NERO ENG. BREAKFAST 1CFX25
4,BEV.COG.00002,6.0,COGNAC MARTELL 70CL
4,BEV.GIN.00002,18.0,GIN BOMBAY SAPPHIRE 1LT
4,BEV.GIN.00008,10.0,GIN BASE (BEEFEATER)
4,BEV.GUA.00007,4.0,SCIROPPO FIORI DI SAMBUCO 70CL
4,BEV.GUA.00008,2.0,SCIROPPO D'ORZATA FABBRI 1LT
4,BEV.GUA.00010,7.5,SCIROPPO DI ZUCCHERO
4,BEV.GUA.00021,9.0,LATTE DI COCCO 1LT
4,BEV.LAT.00001,15.0,LATTE INTERO UHT LT.1
4,BEV.LIQ.00001,94.5,LIQUORE CREMA DI MELONE
4,BEV.LIQ.00006,12.0,LIQUORE CICERENELLA 50CL
4,BEV.LIQ.00022,4.0,LIQUORE KALHUA 1 LT
4,BEV.LIQ.00027,199.0,LIQUORE LIMONCELLO LT.2
4,BEV.LIQ.00030,21.0,AMARETTO DISARONNO
4,BEV.LIQ.00050,1.5,LIQUORE ORANGE CURACAO MONIN 70CL
4,BEV.LIQ.00054,1.5,LIQUORE BRIOTTET MORE 70CL
4,BEV.RUM.00001,3.0,RUM ZACAPA 23
4,BEV.RUM.00002,5.0,RUM BACARDI CARTA BLANCA 1LT
4,BEV.RUM.00010,3.0,RUM HAVANA 3Y 1LT
4,BEV.RUM.00015,6.0,RUM DIPLOMATICO RESERVE EXCLUSIVA
4,BEV.SOF.00003,1.0,SUCCO ARANCIA AMITA 20CL X 24
4,BEV.SOF.00014,5.0,COCA COLA 33CL X 24 VAP
4,BEV.SOF.00018,3.0,LEMONSODA 20CL X 24 VAP
4,BEV.SOF.00035,1.0,REDBULL 25CLX24PZ
4,BEV.SOF.00041,1.0,THE ESTATHE' LIMONE 250MLX24PZ
4,BEV.SOF.00043,3.0,SPRITE 33CLX24 VAP
4,BEV.SOF.00045,17.0,COCA COLA ZERO 33CLX24 VAP
4,BEV.SOF.00051,31.8,"SODA SIFONE 1,5LT"
4,BEV.SOF.00059,1.5,SUCCO BASE CRANBERRY 1LT
4,BEV.SOF.00060,33.0,SUCCO BASE ANANAS
4,BEV.SOF.00063,1.0,GINGER BEER FEVER TREE 20CLX24
4,BEV.SOF.00066,3.0,INDIAN TONIC FEVER TREE 20CLX24PZ
4,BEV.SOF.00069,2.0,SUCCO ARANCIA YOGA 20CLX24PZ
4,BEV.SOF.00071,1.0,SUCCO MELA VERDE YOGA 20 CL X 24 PZ
4,BEV.VIN.00002,2.0,VINO BIANCO SAMMARCO 75 CL
4,BEV.VIN.00004,9.0,VINO ROSSO SAMMARCO 75 CL
