codice_articolo,totale_consumato,media_giornaliera,deviazione_std,giorni_consumo,descrizione
BEV.ACQ.00001,404.0,4.34,3.12,93,ACQUA FERRARELLE 75CL X 12 VAR
BEV.ACQ.00006,808.0,7.21,5.13,112,ACQUA NATIA/ELECTA 75CL X12 VAR
BEV.AMA.00001,18.0,6.0,0.0,3,AMARO FERNET BRANCA
BEV.AMA.00002,72.0,8.0,3.0,9,AMARO JAGERMEISTER
BEV.AMA.00004,78.0,13.0,17.15,6,AMARO DEL CAPO 1LT
BEV.AMA.00005,48.0,9.6,3.29,5,AMARO RAMAZZOTTI 1LT
BEV.AMA.00006,12.0,6.0,0.0,2,AMARO AVERNA 1 LT
BEV.APE.00001,11.0,1.1,0.32,10,SAN BITTER BIANCO 10CL X 40
BEV.APE.00003,3672.0,36.72,27.12,100,APEROL
BEV.APE.00004,33.0,1.32,0.69,25,CRODINO 10CL X 48 PZ
BEV.APE.00005,2.0,1.0,0.0,2,CAMPARI SODA 10CL X 50PZ VAP
BEV.APE.00006,600.0,12.0,10.74,50,CAMPARI
BEV.APE.00010,5.0,1.0,0.0,5,SAN BITTER ROSSO 10CL X 40
BEV.APE.00014,23.0,1.77,1.01,13,LEMONCETTO
BEV.BIR.00001,173.0,3.04,2.31,57,BIRRA NASTRO AZZURRO 33CL X 24 VAP
BEV.BIR.00002,46.0,2.42,2.57,19,BIRRA HEINEKEN 33CL X 24 VAP
BEV.BIR.00004,11.0,5.5,4.95,2,BIRRA TENNENT'S SUPER CL 33X24 VAP
BEV.BIR.00005,37400.0,359.62,293.29,104,BIRRA PORETTI SPINA 20LT
BEV.BIR.00006,32.0,2.46,2.11,13,BIRRA ICHNUSA FILTRATA 33CLX24
BEV.BIR.00008,75.0,2.21,1.74,34,BIRRA CORONA 33CL X 24 VAP
BEV.BIR.00010,11.0,1.57,1.13,7,BIRRA ANALCOLICA TOURTEL 33CL 24PZ
BEV.BOL.00001,21.0,1.5,0.85,14,PROSECCO BASE (TERRA SERENA 75CL X 6)
BEV.BOL.00003,3.0,1.0,0.0,3,CHAMPAGNE SECRET DE FAMILLE 75 CL
BEV.BOL.00007,3.0,1.0,0.0,3,PROSECCO PRIMA CUVEE TREVISO 75 CL
BEV.BOL.00008,9.0,1.0,0.0,9,PROSECCO ROSE DOC 75 CL
BEV.BOL.00010,1.0,1.0,,1,PROSECCO CUVEE REAL FRANCIACORTA 75 CL
BEV.BOL.00013,24694.0,216.61,166.01,114,PROSECCO BASE (BIANCAVIGNA 75CLX6)
BEV.CAF.00003,6903.0,66.38,58.96,104,CAFFE IN GRANI
BEV.CAF.00004,3.0,1.0,0.0,3,CAMOMILLA 1CF X 20 PZ
BEV.CAF.00005,10.0,1.11,0.33,9,THE TWINNINGS PURE GREEN 1CFX25PZ
BEV.CAF.00007,1.0,1.0,,1,THE TWINNINGS FRUTTI ROSSI 1CFX25PZ
BEV.CAF.00010,20.0,1.25,0.45,16,THE TWINNINGS NERO ENG. BREAKFAST 1CFX25
BEV.COG.00002,37.5,9.38,3.94,4,COGNAC MARTELL 70CL
BEV.DIS.00005,5.0,2.5,2.12,2,GRAPPA BIANCA BARBERA 70CL
BEV.DIS.00006,102.0,7.85,2.88,13,DISTILLATO CACHACA NEGA FULO
BEV.DIS.00007,75.0,8.33,5.59,9,GRAPPA BARRICATA 18 LUNE 70CL
BEV.DIS.00009,6.0,6.0,,1,DISTILLATO PISCO BARSOL 70CL
BEV.DIS.00012,10.0,2.0,2.24,5,DISTILLATO MEZCAL VIDA DEL MAGUEY
BEV.GIN.00001,90.0,10.0,5.2,9,GIN TANQUERAY 1LT
BEV.GIN.00002,402.0,11.82,8.29,34,GIN BOMBAY SAPPHIRE 1LT
BEV.GIN.00003,36.0,6.0,0.0,6,GIN HENDRIK'S
BEV.GIN.00005,30.0,10.0,3.46,3,GIN MARE 1LT
BEV.GIN.00008,726.5,10.38,20.33,70,GIN BASE (BEEFEATER)
BEV.GIN.00009,6.0,6.0,,1,GIN BULLDOG 1LT
BEV.GIN.00012,84.0,9.33,3.16,9,GIN J.ROSE 70CL
