codice_articolo,descrizione,classe,categoria,subcategoria,fornitore,unita_misura,prezzo_unitario,prezzo_medio,scorta_sicurezza,esistenza,quantita_disponibile,valore_totale,in_ordine,consumi_ricette,consumi_certi,stock_status,valore_giacenza
ACQDIREZIONE,ACQUISTI DIREZIONE,PROPDIRE,PROPDIRE,,BELLAGAIA SRL,PZ,284.9,58.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Out of Stock,0.0
ACQNETTO,ACQUISTO SUPERMERCATO NETTO,PROPDIRE,PROPDIRE,,AMALFI SEI ESSE SRL,PZ,13.61,13.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Out of Stock,0.0
ATT.AHK.00001,FILO STENDIBIANCHERIA MM5,ATTREZZ,AT.HSK,,GIACINTO DI PALMA,MT,0.492,0.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Out of Stock,0.0
ATT.ASB.00001,PORTA GHIACCIO,ATTREZZ,AT.SALA,,CARICO INIZIALE,PZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Out of Stock,0.0
ATT.ASB.00002,PINZA PLASTICA PER GHIACCIO,ATTREZZ,AT.SALA,,CARICO INIZIALE,PZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Out of Stock,0.0
ATT.ATB.00001,TAPPETO PER SPIAGGIA VERDE 110X55M,ATTREZZ,AT.SPIAG,,BRASIO MIRKO VINCENZO,PZ,287.1,143.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Out of Stock,0.0
ATT.ATC.00001,TEGLIA DA FORNO CIRCOLARE 26CM,ATTREZZ,AT.CUCIN,,AMAZON,PZ,9.41,9.41,0.0,6.0,6.0,56.46,0.0,0.0,0.0,In Stock,56.46
ATT.ATC.00002,VENTILATORE,ATTREZZ,AT.CAMER,,NINNI SRL,PZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Out of Stock,0.0
ATT.ATC.00003,SACCAPOCHE 100PZ,ATTREZZ,AT.CUCIN,,VICART SRL,CF,22.0,22.0,0.0,3.0,4.0,88.0,0.0,0.0,0.0,In Stock,66.0
ATT.ATC.00004,BADGE CAMERE VDA,ATTREZZ,AT.CAMER,,VDA GROUP SPA,PZ,0.9,0.9,0.0,100.0,100.0,90.0,0.0,0.0,0.0,In Stock,90.0
ATT.ATE.00001,CARICATORE USB 6 PORTE,ATTREZZ,AT.TELEF,,AMAZON,PZ,22.36,22.36,0.0,1.0,1.0,22.36,0.0,0.0,0.0,In Stock,22.36
ATT.ATE.00002,CARICATORE IPHONE,ATTREZZ,AT.TELEF,,AMAZON,PZ,12.14,12.14,0.0,1.0,1.0,12.14,0.0,0.0,0.0,In Stock,12.14
ATT.ATH.00001,LAVASCIUGA I-MOP LITE COMPLETO,ATTREZZ,AT.HSK,,FORAGGIO SRL,PZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Out of Stock,0.0
ATT.ATH.00002,KIT DISCO PER I-MOP LITE BLU 1CFX2PZ,ATTREZZ,AT.HSK,,FORAGGIO SRL,PZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Out of Stock,0.0
ATT.ATH.00003,LAVASCIUGA I-MOP XL PRO,ATTREZZ,AT.HSK,,FORAGGIO SRL,PZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Out of Stock,0.0
ATT.ATH.00004,BATTERIA POWER14 DESTRA PER I-MOP,ATTREZZ,AT.HSK,,FORAGGIO SRL,PZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Out of Stock,0.0
ATT.ATH.00005,CARICABATTERIA SUPER 3P EU,ATTREZZ,AT.HSK,,FORAGGIO SRL,PZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Out of Stock,0.0
ATT.ATH.00006,DISCO SINGOLO PER I-MOP,ATTREZZ,AT.HSK,,FORAGGIO SRL,PZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Out of Stock,0.0
ATT.ATH.00007,DISCO ABRASIVO ROSSO I-MOP XL,ATTREZZ,AT.HSK,,FORAGGIO SRL,PZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Out of Stock,0.0
ATT.ATH.00008,ICLEAN PRO TERSANO,ATTREZZ,AT.HSK,,FORAGGIO SRL,PZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Out of Stock,0.0
