categoria,numero_articoli,valore_totale,articoli_in_stock
,1619,0.0,0
ACQUA,14,549.96,7
AMARI,11,68.47,5
AMENCAME,3,22.5,1
APERITIV,18,681.07,10
AT.CAMER,2,90.0,1
AT.CUCIN,2,122.46,2
AT.HSK,10,0.0,0
AT.INFOR,1,177.89,1
AT.MANUT,3,11.85,1
AT.SALA,11,660.35,7
AT.SPIAG,1,0.0,0
AT.TELEF,2,34.5,2
BIRRE,11,557.74,6
BURR,2,41.8,2
CAFFETT,23,2714.45,16
CANCELLE,47,1032.67,45
CANPERS,12,1425.31,10
CARNEBIA,9,159.96,3
CARNEROS,13,660.34,6
CARTBUSA,22,1941.75,20
CEREALI,9,213.05,9
COGNBRAN,6,23.68,3
CORTGEN,23,16283.11,16
CORTPERS,8,9.1,5
DETERGEN,57,2465.07,44
DISTILL,11,48.0,3
DIVISE,2,209.56,2
FARINA,6,100.8,3
FORMAGG,24,524.46,10
FRUTTFRE,25,377.07,15
FRUTTSEC,15,226.05,7
GELATCON,54,0.0,0
GELATVAS,5,100.6,3
GIARDINA,6,17.16,1
GIN,13,379.48,9
GUARTOP,24,177.1,14
LATTE,5,107.2,5
LATTICIN,16,41.0,3
LIQUORI,55,233.94,18
MAT.VARI,59,351.4,10
MATEDILE,57,48.98,2
MATELETT,61,591.78,31
MATIDRAU,55,287.86,10
MONODOLC,12,137.44,6
MONOUSO,86,6926.4,65
OLIO,5,1966.22,4
ORTAGGI,32,206.48,18
PANE,23,450.36,7
PASTAFRE,9,234.5,4
PASTAGRA,20,368.14,12
PASTICCE,33,90.0,9
PESCEFRE,12,53.16,6
PESCESUR,22,330.53,6
PROCUCIN,9,610.42,7
PROPDIRE,2,0.0,0
PROPOOL,14,789.0,9
RICECONS,14,637.29,9
RISO,4,112.0,2
RUM,16,298.8,11
SALUMI,13,473.6,7
SCATOLAM,35,810.62,17
SEMILDOL,96,4110.29,47
SEMILSAL,31,829.2,16
SNACKDOL,3,0.0,0
SNACKSAL,20,508.29,13
SOFDRINK,79,3995.98,48
SPEZIECO,45,763.81,23
STRMAN,10,0.0,0
STRPULIZ,61,1896.33,40
TEQUILA,3,278.45,3
UOVA,2,113.99,1
VERDURA,6,48.0,2
VERNPITT,6,0.0,0
VINBOLL,16,1401.81,9
VINOBIAN,13,944.2,8
VINODESS,2,0.0,0
VINOROSE,5,787.0,3
VINOROSS,16,1632.9,11
VODKA,12,272.68,8
WHISKY,15,125.94,6
YOGURT,4,9.5,1
